docno,title,description,genre,rating,num_reviews
tonaaft2,The Michael Kay Show,The voice of the Yankees pairs with New Jersey native Don La Greca and multifaceted DJ Peter Rosenberg.,Sports,4.5,1300
n297c39q,Invisible Choir,"The Invisible Choir true crime podcast examines the most heinous murders through investigative storytelling, primary source audio, and victim testimonials. We aim to bring voice to the voiceless, and visibility to the invisible.",True Crime,4.7,3200
ligqoj24,Kuper Island,"An 8-part series that tells the stories of four students: three who survived and one who didn’t. They attended one of Canada’s most notorious residential schools – where unsolved deaths, abuse, and lies haunt the community and the survivors to this day. Hosted by Duncan McCue.",True Crime,4.7,780
iq30z094,R*******r,"Confessions of a Dirty Tricks Operative. Meet David Wallace, political fixer. After decades in the game he says he's getting out, telling all, and dumping his files in public. The result is the #KlondikePapers conspiracy theory. But are the allegations true? And why is he really implicating himself, and so many others? A wild, true story. Hosted on Acast. See acast.com/privacy for more information.",News,5.0,8
bqount8a,Dean Delray's LET THERE BE TALK,"Dean Delray's ""Let There Be Talk."" This original podcast is a unique blend of rock and comedy talk with some of the biggest names in music, comedy and entertainment.",Music,4.9,2200
pyy1ega9,"Sleep Meditation Music - Relaxing Music for Sleep, Meditation & Relaxation","Blissful Relaxation are dedicated to creating High-Quality original Sleep Music, Meditation Music & Relaxing MusicMusic has the power to transport us to another time and place and we love to harness that power and transport you to a place of bliss and pure relaxation.Our Relaxing Sleep Music is soft and soothing; designed specifically for Sleep, Meditation and Relaxation.Our Music has no boundaries and is suitable for all :-)Find us at: www.blissfulrelaxationmusic.com",Health & Fitness,4.5,481
bnl5qxlm,"The Privacy, Security, & OSINT Show","Your weekly dose of privacy, digital security, and open source intelligence (OSINT) news and opinion.",Technology,4.8,686
o2mim4it,The Detroit History Podcast,"Season Five is Here.Season Five of the Detroit History Podcast will explore the life and career of boxing icon, Joe Louis. We’ll jump into the true crime genre, digging into the story of a brutal triple-beheading on Detroit’s east side, in which three people were found in a van, their heads and hands hacked off. We’ll go further back in time, telling the story of a Native American Burial Mound on Detroit’s Southwest side. And we’ll delve into the history of Detroit Style Pizza.",History,4.7,168
g0ke3xh1,Blessed + Bossed Up,"The BBU Podcast is a weekly podcast that teaches purposeful women how to be uncompromising in their faith, business, and total life success with God as the CEO. Get ready to be empowered, emboldened, and receive divine strategy to fulfill God’s plan for your life and business.Your host + sister in Christ and success, Tatum Temia Ayomike, is an award-winning entrepreneur, executive producer, author and devoted Christian who has committed her life to help women bridge the gap between faith and business. Her impact as the CEO of Anchored Media includes a global reach of millions of listeners across 75+ produced podcast shows in just 2 years. Through her personal brand, Tatum has cultivated a community of businesswomen who give God full authority to use their business as a vessel for the Kingdom. Using the word of God as her platform, Tatum's prayer journal and published books offer instrumental guidance to ‘boss up’ in any entrepreneurial venture. Tatum has been featured in several magazines and publications and has been named as a Top 30 under 30 in the Washington, DC area.",Business,4.9,2000
7vmevd9g,Snap Judgment,"Snap Judgment (Storytelling, with a BEAT) mixes real stories with killer beats to produce cinematic, dramatic, kick-ass radio. Snap’s raw, musical brand of storytelling dares listeners to see the world through the eyes of another.",Arts,4.7,10200
6f8vyziv,CHANEL Connects,"CHANEL CONVENES LEADING CULTURAL VOICES TO LAUNCH THE SECOND SEASON OF “CHANEL CONNECTS” PODCAST SERIES.Contributors including Maisie Williams, Grimes, Kehinde Wiley, Lil Buck, Honey Dijon, Anicka Yi, G Dragon and Misan Harriman present what’s new and next in arts and culture.Inspired by the heritage of the House to play a role in “what happens next”, CHANEL is bringing together some of the most celebrated talent from film art, dance, and music to focus on what matters most and what’s coming next. Some are old friends and collaborators. Others are meeting for the first time.Launching today, CHANEL Connects pairs cultural innovators and creative game-changers, together, as they explore fresh ideas and new points of view.",Arts,4.4,10
6ogoktah,The Peter Schiff Show Podcast,"Peter Schiff is an economist, financial broker/dealer, author, frequent guest on national news, and host of the Peter Schiff Show Podcast.  The podcast focuses on weekly economic data analysis and unbiased coverage of financial news, both in the U.S. and global markets.  As entertaining as he is informative, Peter packs decades of brilliant insight into every news item.  Join the thousands of fans who have benefited from Peter's commitment to getting the real story out to the world.",Business,4.6,5300
tptwlmy4,A New Untold Story,"A New Untold Story is a podcast. KB was the smallest newborn in the history of Wheeling. Nobody believed that he would survive, but KB believed he was a legitimate miracle. KB loved baseball despite that he almost never got to play, and when he did it was only to get a walk from his small strike zone. Nick's mother, Rebecca Wentworth, got pregnant in high school. The only fact anyone knows about Nick's parentage is that Rebecca met his father on a train. Her refusal to reveal the identity of the father has made Nick a living town scandal. KB is obsessed with how long he can hold his breath underwater, always trying to improve this ability.You can find every episode of this show on Apple Podcasts, Spotify or YouTube. Prime Members can listen ad-free on Amazon Music. For more, visit barstool.link/anuspodcast",Comedy,4.9,5600
wyy6yw2o,Melissa and Lori Love Literacy,"Melissa and Lori Love Literacy is a podcast for educators interested in learning more about the science of reading, knowledge building, and high quality curriculum! Join Melissa Loftus and Lori Sappington every Friday as we tackle new ways of thinking about how to teach reading and writing. Most of our experience has been in the classroom from primary through high school, but we also have experience at district and state leadership levels in literacy. Our guests include school-based educators and leaders, district leaders, literacy researchers and experts, and passionate parents and community members. Visit our website: www.literacypodcast.com",Education,4.8,134
aclzp3iy,Maximized Minimalist Podcast,"This podcast is dedicated to helping women ditch their clutter and live a simpler, intentional, more meaningful life.I help women stop living on the modern-day hamster wheel of motherhood, by providing expert advice on achieving a life with MORE, by having LESS.Join the Maximized Minimalist Movement!",Education,4.8,538
yggoeu00,A Feminine Impression,"Feminine Education through Beauty & Lifestyle! Welcome to my podcast! My name is Dr. Michelle Daf (PhD). I work as an Educational Psychologist and my goal is to help all women live in their true power. My podcast has a focus on Femininity, Marriage and The Kingdom of God. I want each listener to learn how to use their beauty for good and live in their unique God given purpose! @drmichelledaf / @afeminineimpression",Education,4.8,664
0r4z1zea,How to Take Over the World,"Anyone who has achieved greatness has, in part, patterned themselves after those who came before. Napoleon learned from Charlemagne, Charlemagne learned from Caesar, and Caesar learned from Alexander the Great. This podcast analyzes the lives of some of the greatest men and women to ever live. By examining their strategies, tactics, mindset, and work habits, How to Take Over the World helps you understand the great ones, so that you can follow in their footsteps.",History,5.0,502
7yo3qr0u,Charm Words: Daily Affirmations for Kids,"Charm Words is a daily affirmations podcast for children of diverse backgrounds that will help to inspire and bring self-worth to the forefront of young minds at the start and end of their day. Help your kids deal with feelings of emotional distress while learning new self-care abilities. These simple Ph.D.-approved charming affirmations free kids from invasive troubling thoughts, build resilience to stressful situations and help them develop positive ways of coping. Also a perfect classroom meditation for students.",Kids & Family,4.8,21
t1ma6njp,Three Black Halflings,"Three Black Halflings are a group of nerdy friends with strong opinions and even stronger Charisma scores. Join them in their quest to explore diversity in the incredible worlds of D&D and pop culture while doling out DM tips, thought-provoking conversations, a band of guests, and good times.Connect with us on Twitter, Instagram and Facebook @tbhalflings or email secondbreakfast@tbhalflings.comIf you enjoy this podcast please help us out by leaving a review and sharing with your fellow adventurers.",Leisure,4.9,376
43bdjxe2,Command Line Heroes,"Hear the epic true tales of how developers, programmers, hackers, geeks, and open source rebels are revolutionizing the technology landscape. Command Line Heroes is an award-winning podcast hosted by Saron Yitbarek and produced by Red Hat. Get root access to show notes, transcripts, and other associated content at https://redhat.com/commandlineheroes",Technology,4.6,439
nebf6u0z,The Divorce Survival Guide Podcast,"On the Divorce Survival Guide Podcast we have open and honest conversations about co-parenting, separation, divorce, and the hardest question of all, should you stay or should you go?Hosted by Kate Anthony, your Divorce Survival Guide.",Education,4.4,375
4ac52f72,Long May They Run,"From the team that brought you Root of Evil and Gangster Capitalism, comes a brand-new series, Long May They Run, a groundbreaking music documentary podcast series. Season One focuses on the band Phish. There are great bands and there are great albums. But, there are only a handful of artists who have sold out stadiums for decades, redefined the bond between artist and fans, influenced a way of life, and innovated an entire industry along the way. Hosted by music journalist Dean Budnick, LMTR tells the story of a band, their fans, and the journey that made them one of the most successful touring bands of all time. With over 50 interviews, season one of LMTR will shed light on a band who helped to pioneer an entire industry on many impactful and important levels, doing it their way. Long May They Run is a production of C13Originals, a division of Cadence13.",Music,4.6,2000
g4aw4ves,The Narcissistic Trauma Recovery Podcast,"The Narcissistic Trauma Recovery Podcast is to help women thrive after the devastating effects of trauma through narcissistic abuse. Hosted by Caroline Strawson, award winning Trauma Informed Coach & Therapist, founder of the Narcissistic Trauma Recovery Programme using a unique integration of tools such as EMDR, Brainspotting, Positive Psychology, Internal Family Systems, Breath Work and RTT, author (Divorce Became My Superpower) and speaker, this podcast is created to provide support, education and awareness around self healing, gaslighting, complex PTSD, codependency and surviving narcissistic abuse. This is a place where we understand the anger, toxicity and guilt you feel through the behaviours of a narcissist and this podcast is designed to help take you from trauma to transformation.",Education,4.8,346
o2os9jj6,Drilled,"A true-crime podcast about climate change, hosted and reported by award-winning investigative journalist Amy Westervelt.",Science,4.6,2000
l9ozvlae,Tinsel Tunes - The Christmas Music Podcast,"The Tinsel Tunes podcast goes into great detail about Christmas music. Full of fun and interesting facts, it will get you into the Christmas Spirit! Hear about classics, modern songs, songs you love, and even those songs that you dislike. We go deep into the history of Christmas songs, explore the compositions, and play lots of music!",Music,4.0,119
y7urtkxo,Inside the Strategy Room,We talk with McKinsey partners and corporate executives on the challenges they face creating lasting strategies in a fast-changing world. We also examine the different ways these executives approach these challenges and the new and innovative ways they think of creating a vision for their enterprises.,Business,4.2,121
0e34chf3,Limetown,"Ten years ago, over three hundred men, women and children disappeared from a small town in Tennessee, never to be heard from again. In this podcast, American Public Radio reporter Lia Haddock asks the question once more, ""What happened to the people of Limetown?"" Limetown is produced by Two-Up, the producers of 36 Questions, The Wilderness and Shipworm.",Fiction,4.4,8400
gowyfu55,Small Town Dicks,"Small Town Dicks is a podcast about the big-time crime that’s happening in Small Town, USA. Each episode features the detectives who broke the case in their small town, and includes assets like jailhouse phone calls, suspect interviews, and 9-1-1 calls. The show is anchored by veteran, identical-twin detectives Dan and Dave, and hosted by actress, Yeardley Smith. Hosted on Acast. See acast.com/privacy for more information.",True Crime,4.7,7800
wnk44cf7,MOAA's Never Stop Serving Podcast,"The Military Officers Association of America's Never Stop Serving Podcast, hosted by retired Army Lt. Col. Olivia Nunn tackles issues important to servicemembers, veterans and their families.",Government,3.9,7
mbv7pk21,Group Chat,"This is a show where friends – hilarious, opinionated friends who happen to be successful entrepreneurs, investors & operators – comment on all things business, culture, current events and whatever the hell else they want to talk about. From Kanye to Kavanaugh, IPOs to DUIs, no topic is off-limits…as long as hosts Chris “Drama” Pfaff, Dee Murthy and Anand Murthy have something to say about it. In a world of fake news, poor judgment, and overall bad decision-making, we’re here to give you the facts…or at least, the facts as we see them. @drama @deemurthy @anandmurthy",Business,4.8,1400
gbyqrxg2,You Betcha Radio,Midwest Entertainment,Comedy,4.9,777
bz66g9a0,The Fifth Column,"Your weekly rhetorical assault on the on the news cycle, the people who make it, and occasionally ourselves. Kmele Foster (Freethink), Michael Moynihan (Vice), and Matt Welch (Reason) talk and laugh and drink their way to at least quasi-sanity in a world gone mad, often with the aid of clean and articulate guests. Weekly Members Only subscription edition often comes with listener mail and professional-quality (if inappropriate) singing. Analysis. Commentary. Sedition. wethefifth.substack.com",News,4.6,2300
a04e06zy,The Ringer F1 Show,Your pit stop for everything Formula 1. Find Kevin Clark and expert guests from around the world every Wednesday and Sunday covering the 22 Grand Prix events and news.,Sports,4.1,300
36dhfptw,Real Estate Rookie,"Ready to build your real estate empire… but not sure where to begin?Think of us as your personal trainer.From detailed breakdowns of real-world deals… to one-on-one coaching sessions and a warm, welcoming community… hosts Ashley Kehr and Tony J Robinson bring on a wide range of guests to tackle the “newbie” questions you've wondered about but might be afraid to ask.Looking to 10X your real estate investing business this year? This show isn’t for you.Looking for your first, second, or third deal -- or envisioning a more modest portfolio? Step right up. Every Wednesday, we’ll arm you with the tips, tools, and roadmaps you'll need as you embark on your journey toward financial freedom.",Business,4.7,1300
4yfohp9w,The Pan Dulce Life,"Hosted by renowned DJ/producer Refresh, ""The Pan Dulce Life"" is a Latin-influenced music podcast featuring DJ mixes and interviews by Refresh and special guest DJs. Our show is ideal for personal joy, parties, workouts, long drives, or to find out what tracks DJs are playing in the club.The Pan Dulce Life podcast began in 2018 and has since been streamed over 1 million times. Our show averages over 30 thousand plays per month across several platforms, including Apple Podcasts, Mixcloud, and Google Podcasts.What we're most proud of is that we're based in beautiful San Diego but our show is heard all around the world! We have listeners in over 40 countries, including the US, UK, Mexico, Canada, Germany, France, Spain, and more! Give us a listen, subscribe, and connect with us on social media @thepandulcelife and @djrefreshsd. Enjoy and saca las conchas! Hosted on Acast. See acast.com/privacy for more information.",Music,4.9,177
kmdxxx76,Switched on Pop,A podcast all about the making and meaning of popular music. Musicologist Nate Sloan & songwriter Charlie Harding pull back the curtain on how pop hits work magic on our ears & our culture. From Vulture and the Vox Media Podcast Network.,Music,4.6,2300
jx518gz3,On Being with Krista Tippett,"Groundbreaking Peabody Award-winning conversation about the big questions of meaning — spiritual inquiry, science, social healing, and the arts. Each week a new discovery about the immensity of our lives. Hosted by Krista Tippett. New conversations every Thursday, with occasional extras.",Society & Culture,4.6,8700
72oh3vze,Modern Love,"For 18 years, the Modern Love column has given New York Times readers a glimpse into the complicated love lives of real people. Since its start, the column has evolved into a TV show, three books and a podcast.Each week, host Anna Martin brings you stories and conversations about love in all its glorious permutations, dumb pitfalls and life-changing moments. New episodes every Wednesday.",Society & Culture,4.4,7600
ma0h8bfc,Weather with Cliff Mass,"Atmospheric scientist Cliff Mass provides a weekly weather forecast for the Pacific Northwest, details current and future weather topics, and discusses related topics. Podcast is released every Friday at 9am. Support this podcast and ensure it remains ad-free on Patreon! https://www.patreon.com/cliffmass",Science,4.9,220
r7y1cqou,The Favorites Sports Betting Podcast,"Every Tuesday and Thursday this NFL season, Action Network’s Chief Content Officer Chad Millman welcomes his colleague, professional sports gambler Simon Hunter, as they analyze every matchup and select their best bets from the NFL slate. Utilizing Action Network's data-driven analysis, the latest injury news and insider info from Simon's network of professional bettors, together they craft their best bets of the weekend, along with moneyline parlays, totals, survivor pool picks and so much more.",Sports,4.7,1100
affnaoni,The Boy Mom Podcast with Monica Swanson and Friends,"Monica Swanson, author of the Boy Mom book, and blogger at monicaswanson.com, shares encouragement and inspiration for raising boys in today's world. Monica shares practical advice and biblical wisdom through honest conversations, interviews with other boy moms, and light-hearted humor.",Kids & Family,4.9,791
sccd23l3,Dropping Gems with Devi Brown,"Hosted by Devi Brown, Dropping Gems is a soft place to land where higher consciousness meets your everyday life. Nourish your spirit, grab new tools for the journey and fall deeply in love with the highest version of who you are.Devi Brown serves as the Chief Impact Officer at Chopra Global and is the voice of daily meditation on the Chopra wellness app. A wellbeing educator, author of Crystal Bliss, founder of Karma Bliss, a founding board member of the Mental Wealth Alliance, host of the Black Effect Podcast Network podcast Dropping Gems, seasoned broadcaster and multi-modality healing practitioner. Devi is devoted to spiritual connection meant to aid in the healing of intergenerational trauma and internal liberation. Her work is rooted in weaving ancient and modern practices into tangible healing tools that are in support of emotional growth and radical self-love.",Health & Fitness,4.9,1100
nofojf8m,CHGO Chicago Bears Podcast,"With a star-studded cast, Adam Hoge and Nicholas Moreano join Will DeWitt and others for the most entertaining Chicago Bears podcast in the world. From daily shows to postgame shows and more, nobody will cover the Bears more closely.",Sports,4.7,829
ecgyz78q,TV's Top 5,"Welcome to TV's Top 5! Each episode features The Hollywood Reporter's West Coast TV Editor Lesley Goldberg and Chief TV Critic Daniel Fienberg breaking down the latest industry headlines. The podcast is broken into five segments, offering a deep-dive analysis of the latest TV news and a critical look at current and upcoming shows. Every episode of the weekly podcast includes an in-depth interview with one of the industry's most powerful showrunners or an up-and-coming new voice. Have an industry question you’d like to hear us address in a Mailbag segment? Email us at TVsTop5@THR.com. Stay tuned for future episodes and be sure to subscribe. Hosted by: Lesley Goldberg and Daniel Fienberg Produced by: Matthew Whitehurst",TV & Film,4.6,424
kc1xl0sg,My Life of Crime with Erin Moriarty,"“48 Hours” correspondent Erin Moriarty takes you inside true-crime investigations like no one else, taking on killers and those accused of crimes. From a Baptist preacher accused of staging his wife’s suicide to a young mother who kills her ex-husband and claims self-defense, Moriarty brushes past the speculation to the evidence and talks to the people directly involved, including investigators and the families of victims. Follow along Erin's journey as she goes beyond the scene of each crime, behind prison walls, and into the killers' inner thoughts. It’s all on this season of “My Life of Crime”.",True Crime,4.5,806
suzhg1yd,Axios Today,"Start your morning with news that matters in just 10 minutes. Our host Niala Boodhoo and a team of award-winning journalists bring you insights into the most important news of the day and interesting stories you won’t hear anywhere else. It’s analysis and insights delivered in Smart Brevity® - Axios’ concise communication style that’s respectful of your time.About Axios: Axios is a digital media company launched in 2017. Axios helps you become smarter, faster with news and information across politics, tech, business, media, science and the world. Subscribe to our newsletters at axios.com/newsletters and download our mobile app at axios.com/app. About Niala Boodhoo: Niala Boodhoo is the host of Axios Today. She was the host and executive producer of the award-winning news program The 21st, a Knight-Wallace fellow and a board member for the AAJA.",News,4.4,1800
ydu0l0st,The Strong Towns Podcast,"A weekly conversation on the Strong Towns movement hosted by Charles Marohn. The podcast blends fiscal prudence with good urban design to highlight how America can financially strengthen its cities, towns and neighborhoods and, in the process, make them better places to live.You can support the podcast and become a member of Strong Towns at www.StrongTowns.org.",Government,4.7,304
x53t9i4k,While You Were Folding,"While You Were Folding is my weekly excuse to talk about marriage, parenting, faith, friendship, culture, what I’m reading & watching, and whatever else strikes my fancy.  Most importantly, it’s a great excuse to connect with and learn from like-minded women who are committed to beginning again each day.  I won’t pretend to be an expert, but I will ask a whole buncha questions, invite you into the conversation, and encourage you share what you heard While You Were Folding.",Religion & Spirituality,4.8,81
rhsgqprf,Run the List,"Run the List is a medical education podcast designed for medical students, residents, and all learners hoping for a review in internal medicine. Our show is comprised of short episodes through which you can learn about the diagnosis, management, and clinical pearls for common internal medicine problems.Authors: Walker Redd, Emily Gutowski, Navin Kumar, Joyce Zhou, Blake Smithhttps://accessmedicine.mhmedical.com/multimedia.aspx#1460",Education,4.8,178
p9o2cwgl,Facing Evil,"Back in 2019, sisters Rasha Pecoraro and Yvette Gentile revealed the true story of their dark family history in the hit podcast Root of Evil. Now, Pecoraro and Gentile are back with Facing Evil, a new weekly true crime show which focuses on different but equally resonant stories.",True Crime,3.8,318
25qfbbdb,Climbing in Heels with Rachel Zoe,"Join Rachel Zoe each week as she interviews other female powerhouses with varying backgrounds and across different industries. Through her warmth and humor, listeners will hear about the challenges and successes of female entrepreneurship, balancing work and family life, and how these boss women navigate the changing landscape of business in a post pandemic world.",Business,4.6,406
7cty5s6o,Matt and Shane's Secret Podcast,Grab onto this fast moving train and witness two comedians rise to victory and splendor. This is easily the funniest podcast out there. The rest are pretty meh.,Comedy,4.8,4700
m4t7jwqe,Crime in Sports,"Two comedians take an unmerciful and hilarious look at athletes who have lost big games...with the law! Crime in Sports does the research, and finds the funny in the world of sports true crime. New episode every week!",Comedy,4.9,22700
wfrmvlhi,Straight Up with Trent Shelton,"Straight Up with Trent Shelton is a weekly podcast featuring fire wisdom from the man himself. A former NFL wide receiver turned internationally successful motivational speaker with over 12 million followers on social media, Trent brings his powerful, honest perspective to bring you the truth you need to hear - even if it's hard to take. If you're looking for content that will touch your heart and change your life, Straight Up with Trent Shelton delivers it straight to your ears!",Education,4.9,5200
pzbhq26m,KnockBack: The Retro and Nostalgia Podcast,"A weekly, retro-and-nostalgia-themed podcast co-hosted by brothers Colin and Dagan Moriarty. Video games, television shows, movies, books, toys, comics, and more... this podcast covers it all. New episodes post each Monday. To get every episode a week early and ad-free, as well as gain the ability to submit questions and comments to be read on the show, please consider supporting the show on Patreon: patreon.com/laststandmediaWe wanna make the podcast even better, help us learn how we can: https://bit.ly/2EcYbu4 For advertising opportunities please email PodcastPartnerships@Studio71us.com   Privacy Policy: https://www.studio71.com/us/terms-and-conditions-use/#Privacy%20Policy",Leisure,4.9,1400
j6o3141a,Move With Heart,"The Move With Heart podcast features Melissa Wood-Tepperberg’s personal stories, triumphs, philosophies as well as those of her mentors who will join the show to share their wisdom. Expect to laugh, learn, and be inspired as they cover topics ranging from mindfulness and spirituality, to nutrition and fitness, to motherhood and fashion.  Hosted on Acast. See acast.com/privacy for more information.",Health & Fitness,4.8,781
32jrya90,The Judgies,"Hangout with Christian, Erika, and Josh as we curate hilarious/odd stories from the internet and judge accordingly. Come be judgy with us!",Comedy,4.8,1600
k9skma4k,The Last Word with Lawrence O’Donnell,"Drawing upon his experience as a former chief of staff on the Senate Finance Committee and as an Emmy-winning executive producer and writer of ‘The West Wing,’ Lawrence O’Donnell examines the compelling and impactful political stories of the day. Join him every weeknight.",News,4.5,4300
baugu1gh,The Secret History Of Hollywood,"An ongoing series of specially produced histories, bringing to life the stories and secrets that shaped cinema. @moviehistories secrethistoryofhollywood.com www.patreon.com/attaboysecret",TV & Film,4.8,652
f2zc5rjj,In Touch with Charles Stanley,"Straight-forward and practical Bible teaching from Dr Charles Stanley is designed to help you grow in your relationship with Jesus Christ, and to strengthen the local church.In Touch proclaims the Gospel of Jesus Christ to people in every country of the world. It is their desire to do this as quickly as possible, as clearly as possible, as irresistibly as possible, to the glory of God and in the power of the Holy Spirit.",Religion & Spirituality,5.0,35
ofpcgxce,CREOGs Over Coffee,"A CREOG study podcast for the busy Ob/GYN resident! 10 minutes of knowledge for your drive into work or while you’re savoring that cup of Joe. Make sure to find us on iTunes, Google Podcasts, or Spotify as well!",Science,4.9,473
vpm9drvz,EV News Daily,"Daily news about electric cars, plug-in vehicles, sustainable transport and how we power it all.",Technology,4.8,392
6nas74q1,The Bible Recap,The Bible Recap,Religion & Spirituality,4.9,21100
vret3sh1,"In Review: Movies Ranked, Reviewed, & Recapped – A Kinda Funny Film & TV Podcast","Twice a week Kinda Funny reviews, ranks, and recaps every movie in the biggest franchises including Marvel Studios, DC, Star Wars, Pixar, Harry Potter, Fast and Furious, Mission Impossible, Batman, Spider-Man, X-Men, Disney, Lord of the Rings, Godzilla, Indiana Jones, MCU, Edgar Wright, Christopher Nolan, and more! Watch the free video version at YouTube.com/KindaFunny",TV & Film,5.0,8
dwfb81aj,Democracy Decoded,"Why does American Democracy look the way it does today and how can we make it more responsive to the people it was formed to serve? ""Democracy Decoded"", a podcast by Campaign Legal Center, examines our government and discusses innovative ideas that could lead to a stronger, more transparent, accountable and inclusive democracy. Host Simone Leeper speaks with experts from across the political spectrum and takes a deep dive into the forces fueling our elections, not just in our nation’s capital but at all levels of government.",Government,4.9,103
ob2xoxlq,Women of Impact,"Hosted by Lisa Bilyeu, co-founder of the billion dollar company Quest Nutrition and President of Impact Theory, this show features women who have overcome incredible hardship to achieve massive success. Our mission is to empower you and all women to recognize that you really can become the hero of your own life. Welcome to Women of Impact.",Health & Fitness,4.8,411
66yurgph,Saint Stories for Kids,"A weekly podcast of stories for kids about Catholic Saints, from the creator of Shining Light Dolls, Chantal Baros. Join us each week for a new short story about the lives of the Saints!",Kids & Family,4.7,1200
xxnnq1w5,REAL AF with Andy Frisella,"Entrepreneur Andy Frisella and his guests discuss, debate, and laugh their way through trending topics and hot-button issues. (This is also the home of Andy's other show, the top-ranked MFCEO Project Podcast)",Business,4.9,28800
l565gha4,Audio Ground School by Part Time Pilot,"Welcome to the Part Time Pilot Audio Ground School Podcast! This podcast is going to be all about providing student pilots with ANOTHER way that they can consume the Private Pilot curriculum. Each episode is myself, Nick Smith, going through the lessons of our Online Ground School but adding more detail, stories and metaphors to make it consumable in the audio format. The #1 reason student pilots never end up becoming a private pilot is NOT due to money. The real reason is actually deeper than that. Yes, flight training is expensive. But every student pilot knows this and budgets for it when they decide to do it.The actual #1 reason a student pilot fails is because they do not have a good, fundamental understanding of the private pilot knowledge they are meant to learn in ground school. You see when a student does not have a good grasp of this knowledge they get to a point in their flight training where their mind just can’t keep up. They start making mistakes and having to redo lessons. And THAT is when it starts getting too expensive. This audio ground school is meant for the modern day student pilot... aka the part time student pilot. Let’s face it, the majority of us have full time responsibilities on top of flight training. Whether it is a job, kids, family, school, etc. we all keep ourselves busy with the things that are important to us. And with today’s economy we have to maintain that job just to pay for the training. The modern day student pilot is busy, on the go and always trying to find time throughout his or her day to stay up on their studies. The audio ground school allows them to consume high quality content while walking, running, working out, sitting in traffic, traveling, or even just a break from the boring FAR/AIM or ground school lecture. Did I meant high quality content? The audio ground school is taken straight out of the 5-star rated Part Time Pilot Online Ground School that has had over 350 students take and pass their Private Pilot exams without a SINGLE STUDENT FAILING. We do this by keeping ground school engaging, fun, light and consumable. We have written lessons, videos, audio lessons, live video lessons, community chats, quizzes, practice tests, flash cards, study guides, eBooks and much more. Part Time Pilot was created to be a breath of fresh air for student pilots. To be that flight training provider that looks out for them and their needs. So that is just what we are doing with this podcast.",Leisure,4.9,27
newf1dqx,Garden Talk with Mr. Grow It,"Interviewing gardeners from all over the world, both beginners and experts, seeking to learn more about what they know about gardening and how they do things in their garden.",Leisure,4.9,242
zlygzsm1,WSJ Tech News Briefing,"Tech News Briefing is your guide to what people in tech are talking about. Every weekday, we’ll bring you breaking tech news and scoops from the pros at the Wall Street Journal, insight into new innovations and policy debates, tips from our personal tech team, and exclusive interviews with movers and shakers in the industry. Hosted by Zoe Thomas",News,4.3,1400
sxdstw4a,Deer University,"Deer University podcasts are all about deer biology and management. Drs. Bronson Strickland and Steve Demarais are both deer hunters, deer biologists, professors of wildlife management, and co-directors of the Mississippi State University Deer Lab. Steve and Bronson are so crazy about deer biology and management that they made it their career! Our goal is to explain how you can use deer research to improve your hunting and management experiences. Don’t take for granted what your buddy says or what you read in a hunting magazine – we’ll train you to think like a deer biologist. As national leaders in deer research, we’ll keep you up to date on the latest and best information, and deliver episodes that cover every deer management topic you can imagine, and then add some that will surprise you. If you are interested in deer hunting and management, this is your podcast! Every shot you take this fall is either a step forward or backward in your management program, so use our knowledge to make every shot count! Hosts of Deer University:Dr. Bronson Strickland, Professor of Wildlife Management, Mississippi State University Extension ServiceDr. Steve Demarais, Professor of Wildlife Management, Mississippi State University Forest and Wildlife Research Center",Science,4.9,426
fvx0xof9,To Live and Die in LA,"In Feb 2018, an aspiring actress vanished from her Hollywood apartment. Rolling Stone journalist Neil Strauss was asked to help the family get answers. Together, they found them...sometimes at great personal risk. Now the award-winning true crime podcast returns, unraveling the baffling and tragic case that started Neil Strauss down the rabbit hole of true crime investigation, along with his wife and his neighbors, Incubus guitarist Mike Einziger, and concert violinist Ann Marie Simpson. To Live and Die in LA Season 2 is available now.www.livediela.com",True Crime,4.6,30200
s70onyix,NASA's Curious Universe,"Our universe is a wild and wonderful place. Join NASA astronauts, scientists and engineers on a new adventure each week — all you need is your curiosity. First-time space explorers welcome.",Science,4.4,610
afgvzxfx,Robert Kelly's You Know What Dude‪!‬,"Did you ever go to a comedy club and see the comics at the back table laughing hysterically? Did you ever wish you could hear what they were talking about? Hosted by Robert Kelly, the You Know What Dude podcast provides you a seat at that table as comedians new and old try to one up and out wit each other. Credits don’t matter here. No topics, no filter, a true comic hang. The You Know What Dude podcast with Robert Kelly... oh and it’s funny as hell.We wanna make the podcast even better, help us learn how we can: https://bit.ly/2EcYbu4 For advertising opportunities please email PodcastPartnerships@Studio71us.com   Privacy Policy: https://www.studio71.com/us/terms-and-conditions-use/#Privacy%20Policy",Comedy,4.7,1800
yvjrcgxu,Tate Speech,"Andrew Tate is a 4x kickboxing world champion, ultra-successful entrepreneur, and one of the most famous men on the planet. The Tate Speech podcast gives you a perspective on life from the man who is eternally correct.If you're ready to escape the matrix and connect with a global network of high caliber men, join The War Room today. https://warroom.cash/pod",Education,4.1,653
